   ing    |                                                                                                                                                                                              units                                                                                                                                                                                               
 10011090 | ["", "bunch", "bunches", "cup", "cups", "grams", "head", "ounces", "pound", "pounds"]
 10011109 | ["cup", "cups", "link", "ounce", "ounces", "pound", "pounds", "servings"]
 10011111 | ["", "leave"]
 10011114 | [""]
 10011135 | ["", "cup", "cups", "head", "ounces", "pounds"]
 10011167 | ["can", "cup", "cups", "gms"]
 10011168 | ["", "can", "cup", "cups", "grams"]
 1001119  | ["cup", "cups", "ounces", "teaspoons"]
 10011205 | [""]
 10011209 | ["", "cups", "pound"]
 10011216 | ["ounces"]
 10011233 | ["bunch", "bunches", "cup", "cups", "head", "ounces"]
 10011238 | ["cups", "grams", "ounces", "pound", "pounds"]
 10011246 | [""]
 10011250 | ["", "leave"]
 10011251 | ["", "cups", "heads", "ounces"]
 10011252 | ["", "grams", "leave"]
 10011253 | ["cups"]
 10011257 | ["", "cups"]
 10011268 | ["", "cup", "cups", "grams", "ounce", "ounces", "pounds"]
 10011282 | ["", "Cs", "Cups", "Tablespoons", "Tb", "Tbs", "Tbsp", "Tbsps", "cup", "cups", "grams", "handful", "ounce", "pound", "pounds", "servings", "slice", "slices", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 10011300 | ["", "cup", "cups", "grams", "ounces", "pound", "pounds"]
 10011333 | ["", "cup", "cups", "ounces", "pound"]
 10011352 | ["pounds"]
 10011355 | ["", "cup", "cups", "grams", "handful", "ounces", "pound", "pounds"]
 10011416 | ["servings"]
 10011429 | [""]
 10011457 | ["", "Bag", "Cs", "Handful", "bag", "box", "bunch", "bunches", "cup", "cups", "grams", "handful", "handfuls", "leave", "ounce", "ounces", "package", "packages", "pound", "pounds", "serving", "servings"]
 10011477 | ["cups"]
 10011485 | ["", "cup", "cups", "kgs", "ounces", "pounds"]
 10011507 | ["", "cup"]
 10011508 | ["cup", "cups", "grams", "ounces"]
 10011529 | ["", "cups", "pounds", "servings"]
 10011531 | ["", "cups", "ounces", "pounds"]
 10011547 | ["cups", "grams", "milliliters"]
 10011549 | ["Jar", "Ounces", "cans", "cup", "cups", "envelope", "grams", "jar", "jars", "ounces", "package", "servings", "tablespoons"]
 10011632 | ["", "cups", "ounces", "servings", "slices", "tablespoons"]
 10011643 | [""]
 10011677 | [""]
 1001168  | ["cup", "cups", "ounces", "tablespoon", "tablespoons"]
 10011693 | ["", "can", "cans", "cup", "cups", "grams", "milliliters", "ounce", "ounces", "pound", "pounds"]
 10011696 | ["cups", "grams", "ounces", "pounds"]
 10011819 | ["", "pound", "serving", "teaspoons"]
 10011821 | ["", "cup", "cups", "tablespoons"]
 10011885 | ["ounces"]
 10011937 | ["", "Tablespoons", "Tbs", "cup", "cups", "pounds", "serving", "servings", "slice", "slices", "tablespoons", "teaspoons"]
 10011962 | ["", "ounces"]
 10011970 | ["", "cup", "cups", "grams", "head", "heads", "pound", "pounds"]
 10011987 | ["cups", "grams"]
 10011990 | ["servings", "teaspoon", "teaspoons"]
 10012006 | ["cups"]
 10012014 | ["", "Cs", "Cups", "cup", "cups", "servings", "tablespoons"]
 10012023 | ["Tbs", "cups", "grams", "serving", "servings", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 10012061 | ["TBSPs", "Tablespoons", "Tb", "Tbsps", "bag", "cup", "cups", "grams", "handfuls", "packages", "servings", "tablespoon", "tablespoons"]
 10012062 | ["Tbsps", "cups"]
 10012108 | ["TBSPs", "cup", "cups", "grams", "ounces", "servings", "tablespoon", "tablespoons"]
 10012142 | ["", "bunch", "cup", "cups", "grams", "head", "ounces", "slices"]
 10012220 | ["Cs", "Tablespoons", "Tb", "Tbs", "Tbsp", "Tbsps", "cups", "servings", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 1001223  | ["cups", "grams", "scoop", "scoops", "tablespoon", "tablespoons"]
 1001256  | ["", "Cups", "Tablespoons", "cup", "cups", "grams", "ounces", "servings", "tablespoon", "tablespoons", "teaspoons"]
 10013147 | ["", "ouncesribs", "package", "pound", "pounds", "racks", "ribs", "ribsrib"]
 10013346 | ["", "Pounds", "pounds"]
 10013411 | ["", "cubes", "grams", "ounce", "ounces", "pound", "pounds"]
 10013926 | ["", "ounces"]
 10013954 | ["pound", "pounds"]
 10014006 | ["", "cup", "cups", "fl. oz.s", "ounces", "pint"]
 10014037 | ["", "Tablespoons", "Tbsp", "Tbsps", "cup", "cups", "grams", "milliliters", "ounce", "ounces", "package", "servings", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 10014052 | ["measure", "ounce", "tablespoon", "tablespoons"]
 10014057 | ["sheets", "tablespoons"]
 10014106 | ["cups", "tablespoons"]
 10014136 | ["cups", "milliliters", "ounce", "ounces", "serving"]
 10014214 | ["Tablespoons", "Tbsp", "Tbsps", "pinch", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 10014355 | ["bags", "cup", "cups", "teaspoons"]
 10014412 | ["", "C", "Cs", "Cups", "Tablespoons", "Tbsps", "bottle", "cube", "cubes", "cup", "cups", "grams", "handful", "handfuls", "kg", "milliliters", "pounds", "quart", "serving", "servings", "tablespoon", "tablespoons"]
 10014534 | ["", "Tablespoon", "Tb", "cups", "ounce", "ounces", "tablespoon", "tablespoons", "teaspoons"]
 10014623 | ["cups"]
 10014649 | ["", "cup", "cups", "ounce"]
 10015002 | ["Tablespoons", "tablespoon", "teaspoon", "teaspoons"]
 10015004 | ["", "fillets", "ounces", "pound"]
 10015050 | ["grams"]
 10015072 | ["cups"]
 10015076 | ["", "servings"]
 10015101 | ["slices"]
 10015117 | ["pound"]
 10015136 | ["", "cup", "grams", "ounce", "ounces", "pound", "pounds", "teaspoons"]
 10015147 | ["", "Ounces", "ounces"]
 10015157 | ["", "grams", "pound", "pounds"]
 10015172 | ["", "grams", "ounces", "pound", "pounds"]
 10015243 | [""]
 10015261 | ["ounces", "pound"]
 10016021 | ["grams"]
 10016034 | ["cans", "cups", "grams", "ounces"]
 10016049 | ["pound", "pounds"]
 10016051 | ["can", "cups", "grams", "ounce", "ounces"]
 10016063 | ["can", "cans", "cups", "ounces"]
 10016069 | ["cup", "cups", "grams", "ounces", "pound", "tablespoons"]
 10016070 | ["ounces"]
 10016073 | ["grams", "ounce", "ounces"]
 10016098 | ["Tablespoon", "cup", "cups", "grams", "ounces", "tablespoons"]
 10016102 | ["ounces"]
 10016112 | ["Tbsps", "cups", "tablespoons"]
 10016124 | ["cups", "servings", "tablespoons", "teaspoon", "teaspoons"]
 10016162 | ["", "Ounces", "cups", "grams", "ounce", "ounces", "package", "packages", "pound", "slices"]
 10016424 | ["teaspoons"]
 10017026 | ["pound", "pounds"]
 10017032 | [""]
 10017166 | ["pound"]
 10017224 | ["", "cups", "grams", "ounces", "pound", "pounds", "rack", "racks"]
 10017345 | [""]
 10018022 | ["box", "boxes", "cups", "ounces", "package"]
 10018029 | ["", "cup", "cups", "loaf", "pound", "servings", "slice", "slices"]
 10018033 | ["", "servings"]
 10018042 | ["", "servings"]
 10018079 | ["C", "CUP", "Cups", "Tablespoons", "Tbs", "Tbsps", "cup", "cups", "grams", "ounces", "servings", "tablespoons"]
 10018099 | ["", "C", "box", "cup", "cups", "ounces", "package", "teaspoons"]
 10018144 | ["", "box", "ounces", "package"]
 10018157 | ["Cs", "cup", "cups", "grams", "ounces"]
 10018166 | ["", "Bag", "Cs", "Package", "bag", "bags", "cup", "cups", "grams", "halves", "ounces", "package", "servings", "teaspoons"]
 10018173 | ["gms"]
 10018192 | ["Cs", "cup", "cups", "grams", "ounces", "pinch", "tablespoons"]
 10018210 | ["", "grams", "ounces", "package", "servings"]
 10018217 | ["sheets"]
 10018228 | ["servings"]
 10018292 | ["cups"]
 10018337 | ["", "package", "packages", "servings"]
 10018338 | ["grams", "ounces", "pounds", "servings", "sheets"]
 10018350 | ["", "servings"]
 10018351 | [""]
 10018353 | ["tablespoons"]
 10018364 | ["", "servings"]
 10018368 | ["", "2-inchs", "3-inchs", "Pkg", "Strip", "inches", "ounces", "package", "packages", "servings", "squares"]
 10018371 | ["Tbsp", "teaspoon", "teaspoons"]
 10018413 | ["", "servings"]
 10018617 | ["C", "Cs", "Tablespoons", "cup", "cups", "grams", "milliliters", "ounces", "servings", "tablespoon", "tablespoons", "teaspoons"]
 10018621 | ["cup", "cups", "servings"]
 10019047 | ["", "ounces"]
 10019056 | ["", "Bag", "bag", "cup", "cups", "ounces"]
 10019071 | ["", "Cs", "bag", "cup", "cups", "grams", "ounce", "ounces", "pound", "servings", "tablespoon", "tablespoons"]
 10019087 | ["Cs", "bag", "cup", "cups", "grams", "ounces", "package", "packages", "pounds", "servings", "tablespoon"]
 10019116 | [""]
 10019137 | ["cup", "servings", "tablespoons"]
 10019146 | ["", "C", "Cs", "Tablespoons", "Tbs", "Tbsp", "Tbsps", "bag", "cup", "cups", "grams", "ounces", "pound", "serving", "servings", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 10019150 | ["ounces"]
 10019151 | ["Cs", "cup", "cups", "package"]
 10019165 | ["Tb", "Tbs", "cup", "cups", "grams", "ounces", "servings", "tablespoon", "tablespoons", "teaspoons"]
 10019170 | ["", "cups", "servings"]
 10019172 | ["box", "ounces", "teaspoons"]
 10019177 | ["gramssheets"]
 10019206 | ["", "Package", "ounces"]
 10019230 | ["", "container", "cup", "cups", "grams", "kg", "ounces", "pounds", "servings", "tube"]
 10019297 | ["cup", "cups", "ounces", "tablespoons"]
 10019334 | ["Cs", "Tablespoons", "Tb", "Tbs", "Tbsp", "Tbsps", "cup", "cups", "grams", "ounces", "pinch", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 10019348 | ["", "Cs", "cup", "cups", "jar", "ounces", "servings", "tablespoon", "tablespoons"]
 10019383 | ["", "Cs", "cups", "ounces", "pkgs"]
 10019868 | ["Tbsp", "Tbsps", "cups", "packet", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 10019903 | ["", "C", "Cs", "Tablespoons", "Tbsps", "bag", "cup", "cups", "grams", "ounce", "ounces", "package", "servings", "squares", "tablespoon", "tablespoons", "teaspoon"]
 10019904 | ["", "bag", "cup", "cups", "grams", "ounces", "package", "servings"]
 10019908 | ["", "Tbsps", "cup", "cups", "grams", "ounces", "servings", "tablespoon", "tablespoons", "teaspoons"]
 10020005 | ["cup", "cups", "pound"]
 10020006 | ["cup", "cups", "pound"]
 1002001  | ["", "cups", "teaspoon", "teaspoons"]
 1002002  | ["Teaspoon", "Teaspoons", "servings", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 10020028 | ["cup", "cups", "ounces"]
 10020029 | ["cups"]
 10020036 | ["cup", "cups"]
 1002004  | [""]
 10020040 | ["Cs", "cup", "cups"]
 10020041 | ["cups"]
 10020048 | ["cup", "cups", "grams"]
 10020052 | ["cup", "cups", "grams", "milliliters", "ounces", "pound"]
 10020053 | ["cups"]
 10020054 | ["", "cup", "cups", "pounds"]
 1002006  | ["", "Tbsp"]
 10020061 | ["cup", "cups", "grams", "ounce", "ounces", "pound", "tablespoons"]
 10020066 | ["cups", "grams", "tablespoon"]
 10020080 | ["", "Cs", "cup", "cups", "grams", "ounces"]
 10020081 | ["", "CUPSs", "Cs", "Tb", "Tbs", "cup", "cups", "grams", "ounces", "tablespoon", "tablespoons"]
 10020088 | ["", "cups", "grams", "servings", "slices"]
 1002009  | ["dashe", "handful", "servings", "tablespoon"]
 1002010  | ["", "Stick", "inch", "inches", "ounces", "slice", "stick", "sticks"]
 1002011  | ["Clove", "Dash", "clove", "cloves", "cube", "dash", "pinch"]
 10020124 | ["ounces", "pound", "pounds", "servings"]
 10020125 | ["cups"]
 10020129 | ["C", "Cs", "Tbsps", "cup", "cups", "gms", "grams", "ounces", "tablespoons", "teaspoons"]
 1002014  | ["", "Dash", "Tablespoon", "Tablespoons", "Tb", "Tbs", "Tbsp", "Tbsps", "Teaspoon", "Teaspoons", "dash", "ounce", "ounces", "pinch", "pinches", "servings", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 1002020  | ["cups", "pinch", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 1002024  | ["Tb", "cups", "pinch", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 1002026  | ["Teaspoon", "cup", "cups", "teaspoon", "teaspoons"]
 1002028  | ["Tablespoon", "Tb", "Tbsp", "Tbsps", "cups", "pinch", "servings", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 1002030  | ["", "Dash", "Tablespoon", "Tb", "Tbsp", "Teaspoon", "Teaspoons", "can", "cup", "cups", "dash", "dashes", "ounce", "ounces", "pinch", "pinches", "serving", "servings", "slice", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 1002031  | ["", "Tbsps", "cups", "pinch", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 1002032  | ["", "tablespoon", "teaspoons"]
 1002034  | ["tablespoons", "teaspoons"]
 1002035  | ["", "Tablespoon", "Tb", "Tbs", "Tbsp", "Tbsps", "bag", "boxes", "cup", "cups", "milliliters", "ounce", "ounces", "pinch", "serving", "servings", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 1002038  | ["tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 10020409 | ["", "ounces", "pound", "pounds"]
 10020410 | ["bag", "ounces", "pound"]
 1002042  | ["Tablespoon", "Tbsp", "cups", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 10020420 | ["box", "cups", "grams", "ounces", "pound", "pounds"]
 10020421 | ["cups", "ounces", "pound"]
 1002044  | ["Tablespoon", "Tbsps", "bunches", "containers", "cup", "cups", "handful", "ounces", "serving", "servings", "slice", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 10020444 | ["bags", "cup", "cups", "grams", "kg", "pound", "pounds", "servings"]
 10020445 | ["cup", "cups", "grams", "servings"]
 1002046  | ["", "Cs", "Tablespoon", "Tablespoons", "Tb", "Tbs", "Tbsp", "Tbsps", "Teaspoon", "Teaspoons", "cup", "cups", "serving", "servings", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 1002047  | ["teaspoons"]
 1002048  | ["cups", "tablespoon", "tablespoons"]
 10020499 | ["cup", "cups", "ounces", "servings"]
 1002050  | ["Dash", "Tablespoon", "Teaspoon", "Teaspoons", "dash", "drops", "milliliters", "tablespoon", "teaspoon", "teaspoons"]
 1002053  | ["Tbsp", "milliliters", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 1002054  | ["servings", "tablespoon", "teaspoon"]
 1002055  | ["Tb", "Tbsps", "cups", "inch", "ounces", "servings", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 1002068  | ["", "C", "Tablespoons", "Tbs", "Tbsp", "Tbsps", "cup", "cups", "jar", "milliliters", "servings", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 1002069  | ["Tablespoons", "Tbs", "cup", "cups", "milliliters", "ounce", "servings", "tablespoon", "teaspoons"]
 10021052 | ["bag", "bags", "cups", "grams", "handfuls", "ounces", "servings"]
 10023003 | [""]
 10023562 | ["pound", "pounds"]
 10023567 | ["ounces", "pound", "pounds"]
 10023572 | ["", "Lbs", "Pounds", "cup", "cups", "grams", "grs", "kg", "kilos", "ounces", "pound", "pounds", "servings"]
 10023583 | ["", "inches", "ounces", "pound", "pounds"]
 10028033 | ["", "cups", "loaf", "pound", "servings", "slice", "slices"]
 10031015 | ["", "pounds", "tablespoons"]
 10035021 | [""]
 10035137 | ["Stick", "cup", "cups", "grams", "ounces", "servings", "tablespoon"]
 10036    | ["", "inches", "ounces", "pounds"]
 1004     | ["Tbs", "cup", "cups", "grams", "ounce", "ounces", "pounds", "servings", "tablespoon", "tablespoons"]
 10040    | ["", "pounds"]
 1004053  | ["servings", "tablespoon", "tablespoons", "teaspoons"]
 1004058  | ["Tb", "Tbs", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 1004073  | ["cups"]
 10042040 | ["Tbsps", "cups", "dash", "fluid ounces", "ounces", "serving", "servings", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 10043028 | ["cups", "servings"]
 10043155 | ["C", "Cs", "bottle", "cup", "cups", "mLs", "milliliters", "ounces", "serving", "tablespoon"]
 10044    | ["gms", "pounds"]
 1004679  | ["milliliters", "tablespoon", "tablespoons"]
 1005006  | ["", "grams", "kg", "ounces", "pound", "pounds", "stick"]
 1005057  | ["", "ounces", "pound"]
 1005091  | ["", "ounces", "pounds"]
 1005096  | ["", "pounds"]
 1005100  | ["packages", "pounds"]
 1005696  | ["", "gram", "pounds"]
 1006     | ["", "cups", "grams", "inches", "ounce", "ounces", "pounds", "serving", "slice", "slices", "tablespoons"]
 10060    | ["", "grams", "pound", "pounds"]
 1006008  | ["teaspoon", "teaspoons"]
 1006075  | ["teaspoon"]
 1006076  | ["cups", "teaspoon", "teaspoons"]
 1006080  | ["tablespoon", "teaspoon", "teaspoons"]
 1006164  | ["cup", "cups", "ounces", "servings", "tablespoon", "tablespoons"]
 1006168  | ["servings", "tablespoon", "teaspoons"]
 1006172  | ["cup", "cups", "quart"]
 10062    | ["", "ounces", "pound", "servings"]
 1006615  | ["cup", "cups", "glas", "kgs", "milliliters", "ounces", "pint", "quart", "quarts", "servings", "tablespoons"]
 1006963  | ["Tbsps", "cups", "milliliters", "tablespoon", "tablespoons"]
 1006970  | ["cup", "cups", "milliliters", "ounces", "quart"]
 1006972  | ["Tbsp", "cups", "grams", "servings", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 1006973  | ["tablespoon", "tablespoons"]
 1006988  | ["ounces"]
 1007     | ["grams", "ounces"]
 1007019  | ["serving", "servings"]
 1007036  | ["pound"]
 1007063  | ["", "cups", "grams", "ounces", "pound", "pounds"]
 1007071  | ["ounces"]
 10072    | ["", "Pounds", "grams", "ounces", "pound", "pounds"]
 10073    | ["cups"]
 1008020  | ["cup", "cups"]
 1008029  | ["", "cup", "cups"]
 1008082  | ["", "cup", "cups", "pounds"]
 1008166  | ["Box", "ounces", "tube"]
 10083    | ["kgs", "pounds"]
 10084    | ["", "pounds"]
 10088    | ["grams", "pounds"]
 1009     | ["", "C", "Cups", "Tbsps", "bag", "can", "cup", "cups", "grams", "handful", "ounce", "ounces", "pound", "pounds", "serving", "servings", "slices", "tablespoons"]
 1009003  | ["", "grams", "kg", "servings", "tablespoons", "teaspoon", "teaspoons"]
 1009016  | ["Cs", "Gallon", "Tablespoons", "bottle", "cup", "cups", "gallons", "milliliters", "ounces", "quarts", "servings", "tablespoon", "tablespoons", "teaspoon"]
 1009037  | ["", "cup", "cups", "grams", "link", "ounces", "servings", "slice", "tablespoons"]
 1009050  | ["cups"]
 1009054  | ["", "Ounces", "cup", "cups", "grams", "ounces", "pint", "pound", "pounds", "serving", "servings", "strip"]
 1009112  | [""]
 1009132  | ["cups", "pounds"]
 1009150  | ["", "Tablespoons", "cup", "cups", "inches", "milliliters", "ounces", "pounds", "servings", "tablespoon", "tablespoons"]
 1009156  | ["", "tablespoon", "tablespoons", "teaspoon"]
 1009159  | ["", "Tablespoon", "Tbsp", "Teaspoons", "cups", "grams", "of", "serving", "servings", "strip", "strips", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 1009176  | ["cups", "grams", "ounces", "tablespoons"]
 1009181  | ["cup", "cups"]
 1009195  | ["", "Cs", "Tbs", "cup", "cups", "grams", "ounce", "ounces", "servings", "tablespoons"]
 1009200  | ["", "Slice", "cup", "ounce"]
 1009206  | ["", "Tablespoons", "cup", "cups", "milliliters", "ounce", "ounces", "servings", "tablespoons"]
 1009216  | ["", "Tablespoon", "tablespoon", "teaspoon", "teaspoons"]
 1009218  | ["cups"]
 1009221  | ["cup", "cups"]
 1009252  | ["", "ounce"]
 1009286  | ["", "cups", "ounce", "ounces", "teaspoon"]
 1009316  | ["Tbsps", "cups"]
 1009322  | ["cups", "tablespoons"]
 1009354  | ["", "can", "ounces", "serving"]
 10093605 | ["cups", "tablespoon", "teaspoon"]
 10093620 | ["cup", "cups", "tablespoons"]
 10093624 | ["can", "servings"]
 10093645 | ["Tbsp", "cups", "servings"]
 10093648 | ["cups", "tablespoons", "teaspoon"]
 10093657 | ["ounce", "teaspoon"]
 10093663 | ["teaspoon"]
 10093691 | ["cups", "tablespoons"]
 10093695 | ["cup"]
 10093703 | ["pounds"]
 10093715 | ["Tablespoons", "cup", "cups", "pinch", "tablespoon", "tablespoons", "teaspoons"]
 10093726 | ["cups", "ounces"]
 10093727 | ["bag", "cup", "ounces", "package", "pound"]
 10093730 | ["", "servings"]
 10093741 | ["Ozs", "cup", "cups", "ounces"]
 10093754 | ["tablespoons", "teaspoon", "teaspoons"]
 10093785 | ["grams"]
 10093803 | ["servings"]
 10098844 | ["cups", "milliliters"]
 10098872 | ["cup", "cups"]
 10098875 | ["ounces"]
 10098966 | ["ounces"]
 10099002 | ["cups", "ounces"]
 10099050 | ["slices"]
 1011     | ["", "Cups", "cup", "cups", "ounces", "pound", "slices", "sticks", "tablespoons"]
 10110    | ["pounds"]
 1011001  | ["can", "servings", "tablespoon", "tablespoons"]
 1011004  | ["cup", "cups", "ounce", "ounces", "pounds", "servings", "tablespoons", "teaspoons"]
 1011009  | ["Slices", "cup", "cups", "ounces", "servings", "slices"]
 10110123 | ["ounces"]
 1011019  | ["ounces"]
 10110204 | ["pounds"]
 10110219 | ["", "bag", "ball", "balls", "cups", "glas", "ounces", "package", "pound", "pounds"]
 1011026  | ["Cups", "cup", "cups", "grams", "ounces", "servings"]
 1011033  | ["", "cups", "servings"]
 1011053  | ["liter", "milliliters", "ounces", "servings", "tablespoon", "tablespoons"]
 10111001 | ["cup", "cups", "handful", "servings"]
 10111080 | ["grams", "servings"]
 10111111 | ["", "cups", "gallons"]
 10111135 | ["cups", "ounces"]
 10111205 | ["", "cup", "cups", "pound", "servings", "slices"]
 10111215 | ["tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 10111216 | ["servings"]
 10111251 | ["", "Cs", "bunch", "bunches", "cup", "cups", "grams", "handfuls", "head", "heads", "leave", "leaves", "ounces", "pounds", "servings", "slices", "stalk"]
 10111282 | ["", "cup", "cups", "ounces", "pounds"]
 10111333 | ["", "cups", "grams", "ounces", "pound", "pounds", "servings", "tablespoons", "teaspoons"]
 10111352 | ["cups", "grams", "ounces", "pound", "pounds"]
 10111362 | ["", "kg", "pound"]
 10111485 | ["", "cups", "ounces", "pounds"]
 10111529 | ["", "Handful", "cup", "cups", "grams", "ounces", "pint", "pints", "pound", "pounds", "serving", "servings"]
 10111549 | ["", "Cs", "cup", "cups", "jar", "ounces", "pound", "quart", "servings", "tablespoons"]
 10111583 | ["pounds"]
 10111641 | ["", "heads"]
 10111819 | ["", "Tb", "tablespoons"]
 10111962 | ["", "cups"]
 10111990 | ["tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 10112220 | ["", "grams"]
 10114037 | ["", "Tbs", "Tbsp", "Tbsps", "cup", "cups", "mLs", "milliliters", "ounce", "ounces", "servings", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 10114057 | ["", "cup", "cups", "milliliters", "ounce", "ounces", "tablespoons", "teaspoons"]
 10114106 | ["cups", "milliliters", "tablespoon", "tablespoons", "teaspoon"]
 10114412 | ["cups", "serving"]
 10114534 | ["tablespoons", "teaspoon", "teaspoons"]
 10115004 | ["ounces", "pounds"]
 10115028 | ["fillets", "ounces", "pound"]
 10115136 | ["cup", "ounces", "pound", "pounds"]
 10115147 | ["cups", "ounces", "pound", "pounds", "servings"]
 10115149 | ["", "grams"]
 10115261 | ["", "Pound", "fillet", "fillets", "grams", "gsheets", "ounces", "pound", "pounds", "servings"]
 10116034 | ["cans", "cup", "ounces"]
 10116072 | ["cups", "ounces"]
 10116098 | ["", "Cs", "Tablespoons", "Tbs", "Tbsp", "Tbsps", "cup", "cups", "grams", "ounces", "servings", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 10116112 | ["Tbsp", "cups", "tablespoon", "tablespoons", "teaspoons"]
 10116124 | ["Tablespoon", "Tablespoons", "Tbs", "Teaspoon", "cups", "servings", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 10118029 | ["", "cups", "loaf", "loafs", "ounces", "pound", "servings", "slices"]
 10118157 | ["", "cup", "cups", "grams", "ounces", "packages", "servings"]
 10118192 | ["", "Cs", "Sheet", "bags", "cup", "cups", "inches", "ounces", "package", "pound", "serving", "servings", "sheets"]
 10118364 | ["", "12-inchs", "cups", "pint", "serving", "servings"]
 10118368 | ["", "2-inchs", "Sheets", "cups", "ounces", "package", "servings"]
 10118371 | ["", "Tbsp", "Tbsps", "cups", "grams", "servings", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 10118375 | ["", "Tablespoon", "Teaspoon", "Teaspoons", "envelope", "grams", "ounces", "package", "packet", "tablespoon", "tablespoons", "teaspoon", "teaspoons"]
 10118617 | [""]
 10119047 | ["", "Stick", "cup", "cups", "stick"]
 10119116 | ["", "cup", "cups"]
 10119172 | ["cups", "ounces"]
 10119297 | ["Cs", "cup", "cups", "ounces", "tablespoon", "teaspoons"]
 10119334 | ["grams", "tablespoons", "teaspoon"]
 10119868 | ["serving"]
 10119903 | ["servings"]
 1012     | ["cup", "cups", "grams", "ounces", "pound", "servings"]
